name,openset
User_9run_2videolie.mp4,"Video Cues: Eye eye gaze shifts minorly sideways while maintaining overall forward focus; no noticeable eye contact aversion or blinking irregularities; no self-touching, fidgeting, or posture tension observed; facial expression transitions from neutral to broad smile with visible teeth, accompanied by minor head tilt and relaxed jaw motion; Audio Cues: Prosody and timing: speaking rate is slow with noticeable pausing between phrases; temporal rhythm is uneven with hesitation cues. Voice quality and tension: pitch variability is minimal, indicating stability; loudness and energy is low and stable; breathiness is present; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed; Reasoning: The visual stream shows mostly steady eye contact with minor gaze shifts, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues, and the audio stream shows timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, stabilizing acoustic evidence. These cues are not decisive on their own, but their cross-modal co-occurrence weakly to moderately favors a deceptive prediction; Prediction: deceptive"
User_30run_0videotruth.mp4,"Video Cues: The visual gaze stays mostly front-oriented with small downward glances; eyelids show minor blinking; the lip area are subtlely parted with visible jaw motion; self-touching or fidgeting is not visibly present; head posture stable; facial expression neutral with subtle mouth tension; Audio Cues: Timing and prosody: the rate of speech is moderate with slight pauses between phrases, hesitations are noted before mentioning a phrase and a phrase; Voice quality/tension: variation in pitch is stable, energy and loudness stays even, no breathiness is observed, tremor/shakiness is not evident, strain/tension is not evident, voice breaks are not evident; Reasoning: The visual stream shows mostly steady eye contact with minor gaze shifts, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues, while the audio stream shows timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence. Read together, these cues are non-specific and do not form a strong cross-modal deception pattern. The available evidence is therefore more compatible with a truthful prediction; Prediction: truthful"
User_5run_7videotruth.mp4,"Video Cues: Gaze shifts subtlely downward and to the side; lip area move with speech; no clear self-adaptors or fidgeting; facial expression stays relatively stable with subtle mouth tension during articulation; Audio Cues: Prosody and timing: rate of speech remains moderate with occasional pauses; speech rhythm is somewhat uneven due to hesitations. Voice quality and tension: variation in pitch is stable; energy and loudness remains even; breathiness is present; tremor/shakiness is not evident; strain/tension is not evident; voice breaks are absent; Reasoning: Visual cues (gaze shifts or reduced direct gaze, mouth-area or jaw movement, self-adaptor/fidgeting evidence, facial-expression cues) and audio cues (timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, stabilizing acoustic evidence) should be interpreted jointly rather than as isolated signs. Here the evidence remains limited and mixed, with no decisive cross-modal support for deception, so a truthful prediction is better supported; Prediction: truthful"
User_13run_8videotruth.mp4,"Video Cues: Direct, steady eye contact with small downward glances; low head movement; mouth area smallly parted with subtle jaw motion; no noticeable self-touching or fidgeting; facial expression remains neutral with small tension around the jaw; Audio Cues: Prosodic timing: speech tempo is variable with pause patterns and hesitation markers; delivery rhythm is uneven with interruptions. Voice quality/tension: pitch movement is unstable; volume/energy changes; breathiness is present; tremor/shakiness is noticeable; strain/tension is detectable; voice breaks occur; Reasoning: The video channel provides mostly steady eye contact with minor gaze shifts, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues. The audio channel provides timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, reported vocal strain/tension, stabilizing acoustic evidence. This combination can reflect ordinary response formulation, and the cues do not consistently reinforce a deceptive interpretation; the prediction is truthful; Prediction: truthful"
User_4run_0videotruth.mp4,"Video Cues: Gaze is mostly downward with brief brief upward glances; limited head movement; lip area are subtlely parted with minor visible jaw motion; no obvious self-touching or fidgeting is visible; facial expression stays relatively neutral with subtle tension around the jaw; Audio Cues: Prosody and timing: rate of speech shifts with pauses and hesitations; speech rhythm is somewhat uneven with interruptions. Voice quality and tension: variation in pitch is present with unstable tone; energy and loudness shifts with breathiness and strain/tension observed; Reasoning: Jointly considering gaze shifts or reduced direct gaze, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues with timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, reported vocal strain/tension, the pattern is not sufficiently strong or consistent to indicate deception. The conclusion therefore rests on insufficient deception evidence and supports a truthful prediction; Prediction: truthful"
User_18run_9videotruth.mp4,"Video Cues: Direct and stable eye contact with small downward glances; little head movement; the lip area are subtlely parted with subtle jaw motion; self-touching or fidgeting is not visibly present; the facial expression remains neutral with subtle tension around the eyes and mouth; Audio Cues: Timing and prosody: the rate of speech is moderate, pauses are noted between phrases; Voice quality/tension: moderate variation in pitch is present, loudness is even, breathiness is minimal, no tremor/shakiness is observed, no strain/tension is observed, voice breaks are absent; Reasoning: The video channel provides mostly steady eye contact with minor gaze shifts, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues. The audio channel provides timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, stabilizing acoustic evidence. This combination can reflect ordinary response formulation, and the cues do not consistently reinforce a deceptive interpretation; the prediction is truthful; Prediction: truthful"
User_16run_3videolie.mp4,"Video Cues: The eye gaze stays largely forward with small downward glances; mouth/lip area move with mouth opening/closing; no obvious self-touching, fidgeting, or significant head movement; the facial expression appears neutral with minor tension around jaw; Audio Cues: Timing and prosody: the speaking rate is moderate with slight pausing between phrases; hesitation cues are present before a phrase boundary boundary and after a phrase boundary boundary; the temporal rhythm is uneven with abrupt stops; fillers not observed; interruptions not observed; self-repairs not observed. Voice quality/tension: pitch variability is stable with minimal inflection; loudness and energy stays stable and moderate; breathiness not observed; tremor/shakiness not observed; strain/tension not observed; voice breaks not observed; Reasoning: Visual cues (mostly steady eye contact with minor gaze shifts, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues) and audio cues (timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence) point in a mildly convergent direction. Since no single cue is conclusive, the prediction is based on their combined pattern, which favors deception; Prediction: deceptive"
User_6run_2videotruth.mp4,"Video Cues: Gaze remains mostly front-oriented with subtle downward glances; minor head movement; lip area subtlely parted with visible jaw motion; no clear self-touching or fidgeting; facial expression transitions from neutral to a subtle smile with relaxed jaw tension; Audio Cues: Timing and prosody: rate of speech shifts with pauses between phrases, hesitations present before a phrase boundary boundary and a phrase; Rhythm is uneven with interruptions in flow. Vocal quality/tension: variation in pitch is moderate with slight instability, energy and loudness is even but not forceful, breathiness is present during pauses, tremor/shakiness is not evident, strain/tension is minimal, voice breaks are not evident; Reasoning: The video channel provides mostly steady eye contact with minor gaze shifts, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues. The audio channel provides timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence. This combination can reflect ordinary response formulation, and the cues do not consistently reinforce a deceptive interpretation; the prediction is truthful; Prediction: truthful"
User_27run_6videotruth.mp4,"Video Cues: Direct, stable eye contact with minor blinking; subtle head tilt; lip area parted mid-movement; no clear self-touching or fidgeting; facial expression remains neutral with subtle jaw tension; Audio Cues: Timing and prosody: rate of speech is moderate with occasional pauses; hesitations present; speech rhythm is uneven; fillers observed; interruptions absent; self-repairs absent. Vocal quality/tension: variation in pitch is stable; energy and loudness is even; breathiness absent; tremor/shakiness absent; strain/tension absent; voice breaks absent; Reasoning: The visual stream shows stable eye-contact orientation, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues, while the audio stream shows timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence. Read together, these cues are non-specific and do not form a strong cross-modal deception pattern. The available evidence is therefore more compatible with a truthful prediction; Prediction: truthful"
User_30run_3videolie.mp4,"Video Cues: Gaze pattern is primarily downward with sporadic upward glances; eyes remain open with moderate blinking; self-touching or fidgeting is not visibly present; facial expression is neutral to smallly tense with mouth area parted; the head remains largely still with minor tilts; posture appears upright but not rigid; Audio Cues: Timing and prosody: the speech tempo is moderate with occasional pause patterns, hesitation markers are noted; the delivery rhythm is uneven with fillers; Voice quality/tension: moderate pitch movement is present, volume/energy is stable; breathiness is present, tremor/shakiness not observed, strain/tension not observed, voice breaks not observed; Reasoning: The video channel provides gaze shifts or reduced direct gaze, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues; the audio channel provides timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence. Interpreted together, the pattern suggests increased monitoring or formulation effort and therefore supports a deceptive prediction with limited-to-moderate strength; Prediction: deceptive"
User_33run_6videolie.mp4,"Video Cues: Gaze pattern is primarily downward with sporadic brief upward glances; low head movement; mouth area smallly parted with subtle mouth-area movement; no noticeable self-touching or fidgeting; facial expression remains neutral with small tension around the mouth and jaw; Audio Cues: Prosodic timing: speech tempo is slow with frequent pause patterns and hesitation markers; delivery rhythm is uneven due to fillers. Voice quality/tension: pitch movement is unstable with noticeable strain; loudness changes with breathiness and occasional tremor; Reasoning: The visual stream shows gaze shifts or reduced direct gaze, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues, and the audio stream shows timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, reported tremor/shakiness, stabilizing acoustic evidence. These cues are not decisive on their own, but their cross-modal co-occurrence weakly to moderately favors a deceptive prediction; Prediction: deceptive"
User_12run_2videotruth.mp4,"Video Cues: Gaze pattern is primarily forward with brief downward glances; eyelids show low blinking; mouth area are smallly parted with minor mouth-area movement; no obvious self-touching or fidgeting is visible; head position stable; facial expression neutral with small tension around jaw; Audio Cues: Prosody and timing: speech tempo remains moderate, pause patterns occur between phrases; Voice quality and tension: pitch movement is present, loudness remains steady; Reasoning: Visual cues (mostly steady eye contact with minor gaze shifts, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues) and audio cues (timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern) should be interpreted jointly rather than as isolated signs. Here the evidence remains limited and mixed, with no decisive cross-modal support for deception, so a truthful prediction is better supported; Prediction: truthful"
User_7run_0videotruth.mp4,"Video Cues: Steady eye contact kept throughout, minor downward glances at intervals, mouth/lip area minorly parted with subtle jaw motion, no obvious self-touching or fidgeting, head largely still with minor forward tilts, facial expression remains neutral to mildly engaged; Audio Cues: Prosody and timing: speaking rate is moderate with slight pausing between item mentions; hesitation cues present before a phrase boundary boundary and before a phrase boundary boundary; temporal rhythm is uneven due to pausing; fillers include a phrase and a phrase before a phrase boundary boundary and a phrase; interruptions not observed; self-repairs not observed. Voice quality and tension: pitch variability is moderate with slight upward inflection at ends of phrases; pitch stability is generally maintained; loudness and energy is stable with no notable spikes or drops; breathiness not observed; tremor/shakiness not observed; strain/tension not observed; voice breaks not observed; Reasoning: Visual cues (mostly steady eye contact with minor gaze shifts, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues) and audio cues (timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence) should be interpreted jointly rather than as isolated signs. Here the evidence remains limited and mixed, with no decisive cross-modal support for deception, so a truthful prediction is better supported; Prediction: truthful"
User_20run_8videotruth.mp4,"Video Cues: Direct, steady eye contact with low blinking; small head tilt; neutral facial expression with mouth area smallly parted; no noticeable self-touching or fidgeting; posture appears upright and still; Audio Cues: Prosodic timing: speech tempo is variable with pause patterns and hesitation markers; delivery rhythm is uneven with interruptions. Voice quality/tension: pitch movement is unstable; volume/energy changes with breathiness and strain/tension observed; Reasoning: The video channel provides stable eye-contact orientation, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues. The audio channel provides timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, reported vocal strain/tension. This combination can reflect ordinary response formulation, and the cues do not consistently reinforce a deceptive interpretation; the prediction is truthful; Prediction: truthful"
User_33run_0videotruth.mp4,"Video Cues: Gaze pattern sporadicly shifts downward and to the side, eyelids blink at a moderate rate, eyebrows furrow smallly, mouth area remain primarily closed with subtle mouth-area movement, head remains primarily still with small forward tilt, no noticeable self-touching or fidgeting, posture appears upright and steady; Audio Cues: Prosodic timing: speech tempo is variable with pause patterns and hesitation markers; delivery rhythm is uneven due to fillers and self-repairs. Voice quality/tension: pitch movement is present; volume/energy changes; breathiness is noticeable; tremor/shakiness is not detected; strain/tension is not detected; voice breaks are not detected; Reasoning: Visual cues (mostly steady eye contact with minor gaze shifts, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues) and audio cues (timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence) should be interpreted jointly rather than as isolated signs. Here the evidence remains limited and mixed, with no decisive cross-modal support for deception, so a truthful prediction is better supported; Prediction: truthful"
User_4run_2videotruth.mp4,"Video Cues: Gaze pattern is primarily downward with sporadic brief upward glances; facial expression stays neutral to smallly tense with low blinking; no noticeable head movements or gestures; posture appears upright but shoulders show subtle tension; no obvious self-touching or fidgeting is visible; Audio Cues: Prosody and timing: speech tempo remains moderate with occasional pause patterns; hesitation markers are present before certain phrases; delivery rhythm is somewhat uneven with some self-repairs; fillers are not明显 observed; interruptions are not detected; Voice quality and tension: pitch movement remains moderate with slight instability; volume/energy remains regular; breathiness is present; tremor/shakiness is not detected; strain/tension is not detected; voice breaks are not detected; Reasoning: The visual stream shows gaze shifts or reduced direct gaze, eyelid or blink behavior, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues, while the audio stream shows timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, reported breathiness, stabilizing acoustic evidence. Read together, these cues are non-specific and do not form a strong cross-modal deception pattern. The available evidence is therefore more compatible with a truthful prediction; Prediction: truthful"
User_19run_9videolie.mp4,"Video Cues: Gaze remains mostly front-oriented with subtle downward glances; eyes show minor blinking; lip area subtlely parted with subtle visible jaw motion; no clear self-touching or fidgeting; head posture stable; facial expression neutral with subtle tension around jaw and brow; Audio Cues: Timing and prosody: rate of speech is moderate with occasional pauses between phrases, speech rhythm is uneven due to hesitations; Vocal quality/tension: variation in pitch is present but not extreme, loudness shifts slightly with breathiness noticeable during longer pauses; Reasoning: Across modalities, mostly steady eye contact with minor gaze shifts, eyelid or blink behavior, mouth-area or jaw movement, head or posture stability, self-adaptor/fidgeting evidence, facial-expression cues appears alongside timing disruptions such as pauses, hesitations, or rhythm changes, pitch variation, loudness or energy pattern, stabilizing acoustic evidence. Because visual monitoring cues and timing/vocal changes occur together, the evidence is compatible with a deceptive prediction, though the judgment remains probabilistic; Prediction: deceptive"
